station,time,metar
WARR,2026-02-23 13:29:00,WARR 230600Z 29008KT 9999 FEW020CB 33/24 Q1005 NOSIG
WARR,2026-02-23 13:36:06,WARR 230630Z 25008KT 9999 FEW020CB 33/25 Q1005 NOSIG
WARR,2026-02-23 14:06:31,WARR 230700Z 16008KT 9999 FEW020CB 31/26 Q1005 NOSIG
WARR,2026-02-23 14:39:20,WARR 230730Z 15008KT 9999 FEW020CB 30/25 Q1004 NOSIG
WARR,2026-02-23 21:16:07,WARR 231400Z 26008KT 5000 HZ SCT020 27/24 Q1008 NOSIG
WARR,2026-02-23 22:11:40,WARR 231500Z 27010KT 5000 -RA SCT020 27/23 Q1008 NOSIG
WARR,2026-02-23 22:35:42,WARR 231530Z 25005KT 5000 -RA SCT020 27/23 Q1008 NOSIG
WARR,2026-02-24 04:00:55,WARR 232030Z 29008KT 5000 HZ FEW020 26/24 Q1006 NOSIG
WARR,2026-02-24 04:05:59,WARR 232100Z 29008KT 5000 HZ FEW020 26/24 Q1006 NOSIG
WARR,2026-02-24 09:06:42,WARR 240200Z 28003KT 5000 HZ FEW020 29/25 Q1009 NOSIG
WARR,2026-02-24 09:39:57,WARR 240230Z VRB02KT 7000 FEW020 31/25 Q1009 NOSIG
WARR,2026-02-24 10:07:51,WARR 240300Z 23003KT 8000 FEW020 32/25 Q1009 NOSIG
WARR,2026-02-24 10:38:24,WARR 240330Z 18006KT 8000 FEW020 33/24 Q1009 NOSIG
WARR,2026-02-24 11:05:30,WARR 240400Z 18005KT 8000 FEW020 33/24 Q1008 NOSIG
WARR,2026-02-24 11:53:03,WARR 240430Z 15007KT 8000 FEW020 33/24 Q1008 NOSIG
WARR,2026-02-24 12:21:16,WARR 240500Z 15008KT 9999 FEW020 30/24 Q1008 NOSIG
WARR,2026-02-24 12:38:18,WARR 240530Z 14008KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 13:20:34,WARR 240600Z 14008KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 13:51:51,WARR 240630Z 13006KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-02-24 14:10:08,WARR 240700Z 10008KT 9999 FEW020 29/25 Q1006 NOSIG
WARR,2026-02-24 20:27:12,WARR 241300Z 07003KT 8000 FEW020 27/25 Q1009 NOSIG
WARR,2026-02-24 20:40:50,WARR 241330Z VRB02KT 8000 FEW020 28/25 Q1009 NOSIG
WARR,2026-02-24 21:07:02,WARR 241400Z VRB02KT 8000 FEW020 27/25 Q1009 NOSIG
